Timestamp,Amicizia,Parentela,Unione,Armonia,Fratellanza,Empatia,Attaccamento,Calore,Supporto,Sinergia,Devozione,Vicinanza,Affetto,Rapporto,Legame,Connessione,Compagnia,Alleanza,Fiducia,Partenariato,Empowerment,Reciproco,Affezione,Comprensione,Affiliazione,Simbiosi,Appartenenza,Famiglia,Clan,Discendenza,Generazioni,Patrimonio,Fratelli_e_sorelle,Nutrimento,Coniuge,Progenie,Antenati,Linea_di_sangue,Matrimonio,Paterno,Legami,Tenerezza,Romantico,Passione,Amoroso,Intimo,Tesoro,Innamoramento,Adorazione,Romanzo,Corteggiamento,Attrazione,Desiderio,Lussuria,Seduzione,Umano,Sociale,Inclusione,Socializzazione,Integrazione,Networking,Mutualismo,Altruismo,Coesione_sociale
2019-01-01,10312,21527,166,3386,108,21175,4748,10522,233,2164,1041,131,2228,3269,137,296,259,657,414,1826,4325,1725,1205,994,232,3061,1510,8463,2141,778,114,3023,289,119,383,658,136,46,12022,111,200,34.0,459,276,83,142,1328,3563,643,13146,1324,481,504,8320,2061,537,183,4717,79,532,184,2174,2346,723
2019-02-01,9421,17520,146,3162,85,19573,4042,7348,217,1842,968,110,1761,2932,131,207,146,603,394,1520,4074,1391,1082,853,212,3001,1640,8779,1829,613,83,2745,311,97,260,1589,125,35,10378,132,177,21.0,421,216,146,157,770,4159,635,10471,1076,329,338,6634,1766,395,123,3172,69,470,145,2000,1933,607
2019-03-01,9164,20220,109,2947,70,22024,4720,6931,693,1847,915,123,1799,3369,121,221,159,486,414,1644,4134,1488,930,933,215,2980,1644,14048,1775,624,52,2659,285,116,403,639,85,57,11422,118,146,24.0,440,185,79,148,871,3078,604,10476,1184,256,266,6045,1672,441,128,2588,56,484,165,1745,2001,598
2019-04-01,8344,20978,81,2475,52,19844,5297,5595,194,1612,919,103,1638,3346,102,118,184,436,201,1447,3607,1215,845,783,216,2744,1351,9545,1539,624,46,2410,386,76,530,568,82,58,10674,120,149,41.0,413,247,71,127,809,2697,502,9408,1116,213,203,5785,1641,417,159,2101,55,422,154,1729,1649,544
2019-05-01,8596,21099,79,2754,60,19449,4793,7780,374,2000,1011,114,1600,3490,77,95,188,552,216,1651,4154,1169,817,773,188,2519,1539,8368,1687,577,53,2935,264,83,375,589,64,138,11843,173,142,29.0,459,161,81,145,863,2931,416,11663,1010,281,161,5594,1760,430,131,2332,61,423,141,2007,1631,576
2019-06-01,6021,19361,80,2252,55,16353,4390,5502,234,1761,863,119,1416,1918,62,81,178,370,185,1447,3700,781,568,674,191,1798,1223,5862,1316,479,37,2038,211,92,335,3325,61,62,10204,144,175,38.0,526,133,85,163,595,3477,393,9051,909,211,138,3593,1566,540,239,2608,80,329,111,1657,1686,471
2019-07-01,6091,21816,93,1980,61,15090,3907,5402,228,1595,1010,106,1508,1817,51,72,182,433,187,1190,2853,863,547,674,184,1793,1033,5678,1384,523,37,1684,340,107,380,261,61,46,10095,111,167,28.0,532,158,103,184,671,4288,411,8393,1079,214,136,3672,1845,563,210,2540,26,258,173,1431,1656,444
2019-08-01,5673,25308,69,1996,57,13857,2877,3899,166,1393,889,112,1482,2153,64,96,203,516,266,925,1990,1239,680,629,235,1548,856,5215,1377,691,51,1814,607,105,415,370,104,37,9765,129,186,35.0,522,149,91,342,706,3624,453,8874,1043,190,192,4111,1470,576,208,2251,87,217,255,1333,1702,406
2019-09-01,7632,23102,83,2339,109,17267,4198,5386,279,1748,1034,116,1625,3482,80,99,150,529,202,1547,3541,1958,828,821,205,1931,2000,6083,1454,583,45,3095,372,103,380,245,53,46,10868,85,137,17.0,539,159,78,160,653,3773,481,14014,1127,194,227,5132,1420,528,210,8223,86,322,170,1793,1879,518
2019-10-01,8423,20542,95,2799,149,18498,4208,7317,118,2347,988,103,1827,3192,94,67,189,511,202,1542,3828,2079,744,925,206,2581,2613,8140,1807,572,41,3476,388,120,356,230,57,36,11681,125,166,32.0,559,191,67,167,636,3733,470,13007,1104,232,252,4399,1388,537,144,11647,77,690,152,2523,2086,694
2019-11-01,10485,23512,181,2998,133,18539,4152,7408,135,2481,975,60,1769,2474,94,96,218,515,162,1564,3909,1821,880,862,113,2357,1499,9545,1697,653,78,2590,1068,72,317,260,65,44,14596,119,108,48.0,205,160,53,79,556,4177,549,12526,1140,190,254,5205,1576,479,127,5875,83,504,146,2053,2097,745
2019-12-01,8239,25766,130,2588,168,17150,4077,5790,134,2055,1211,43,2316,1796,85,331,173,445,158,1304,3448,1285,809,697,110,1760,954,8250,1502,631,72,2026,442,51,142,252,75,42,12533,155,90,33.0,193,181,68,63,605,4080,555,11132,929,93,312,5010,1461,529,236,3769,71,395,152,1791,1885,603
2020-01-01,8344,22697,159,2895,154,19199,4825,5859,126,1989,1026,60,1995,2504,115,118,239,954,204,1672,3914,1181,905,725,84,2316,901,7309,1697,723,54,2469,414,41,131,289,78,43,12152,131,89,23.0,215,216,65,66,587,4033,584,13156,1060,107,401,5387,1606,721,160,4139,48,417,117,1855,1979,675
2020-02-01,6894,16401,117,2634,132,18906,4732,5281,262,1397,774,53,1465,2235,86,129,289,566,149,1546,3587,1006,802,617,71,2175,657,5956,1553,581,39,2204,302,35,119,258,91,28,11133,119,90,37.0,114,212,130,150,473,4633,494,10142,778,89,261,4218,1273,379,91,2582,31,411,106,1748,1627,583
2020-03-01,6687,17298,129,3311,150,21404,4363,7430,318,1370,1026,89,1639,4312,90,195,299,898,151,1304,2948,1159,1060,784,81,2935,1077,7739,1538,602,34,3602,392,31,120,317,156,29,10560,146,100,0.0,137,180,87,47,731,2908,641,15267,817,158,276,5229,1469,431,118,2465,46,279,120,2382,2380,782
2020-04-01,6941,37350,243,4197,213,29623,4834,8767,179,1732,1176,84,2257,4143,94,76,315,807,157,1473,3806,1285,1001,1011,83,3468,2832,8367,1956,744,60,7927,552,56,171,439,103,40,12909,141,122,0.0,280,197,127,61,1031,3101,673,19073,976,113,269,5812,1659,482,107,2534,53,268,105,2923,2577,737
2020-05-01,8637,41962,222,4123,177,21638,5301,8779,323,1725,1704,58,2151,4036,112,137,313,817,216,1604,4047,1340,1046,1211,64,3643,1033,9542,2393,816,54,5076,553,46,156,341,85,38,13072,168,100,0.0,279,175,97,56,769,3381,511,17875,1132,147,432,5064,1577,567,123,3107,75,403,135,3217,2206,816
2020-06-01,4906,22367,216,2668,148,16910,4444,4426,241,1357,804,62,1489,1481,128,122,227,489,134,1411,3690,635,829,733,76,1992,1196,6056,1530,601,72,2569,318,39,110,255,90,28,9956,169,102,0.0,215,158,59,61,592,3216,433,10098,852,95,282,3476,1393,658,88,2928,57,365,112,1695,1395,651
2020-07-01,4604,24663,198,2172,92,15139,4433,4157,340,1167,698,61,1375,1289,91,92,260,431,151,1204,3525,748,663,618,66,1683,426,4335,1291,596,59,1880,343,59,125,288,76,47,8568,186,92,0.0,252,183,206,59,616,3124,446,6905,829,106,267,3324,1440,416,83,2072,56,189,123,1426,1270,484
