Timestamp,Luovuus,Ravinto,Meditaatio,Oppiminen,Empatia,Rohkeus,Ilo,Kirjoitus,Lukeminen,Maalaus,Ruoanlaitto,Jooga,Matkustaminen,Valokuvaus,Vapaaehtoistyö,Uinti,Pyöräily,Rauha,Taide,Musiikki,Luonto,Huumori,Koulutus,Kauneus,Ystävyys,Rakkaus,Toivo,Viisaus,Näytelmä,Terveys,Heijastuminen,Innovaatio,Hengellisyys,Moninaisuus,Kulttuuri,Johtaminen,Tutkimusmatka,Viestintä,Itsenäisyys,Kunnioitus,Motivaatio,Tuottavuus,Diplomatia,Auktoriteetti,Kunnia,Etiikka,Onnellisuus,Filantropia,Nöyryys
2019-01-01,948,1134,2636,1266,2238,278,377,830,302,203,349,3249,1293,1117,1293,1440,1293,551,2881,2138,1322,1246,654,728,1293,2971,157,609,1293,636,345,1819,433,1293,3553,1735,37,1293,1293,333,1717,1232,505,1483,246,4939,1527,1561,1293
2019-02-01,766,982,2067,826,2049,269,389,720,271,143,316,2419,1095,1047,1095,1298,1095,408,2521,1933,1170,865,648,607,1095,2832,133,569,1095,652,319,1428,419,1095,2996,1545,26,1095,1095,318,1049,1240,529,1192,261,4183,999,1405,1095
2019-03-01,816,1275,2328,1137,2140,262,361,768,351,146,370,2663,1271,1159,1271,1616,1271,506,2938,2167,1204,1220,658,697,1271,3062,150,726,1271,681,497,1483,408,1271,3734,1828,28,1271,1271,341,1342,1284,507,1671,288,5043,1557,1443,1271
2019-04-01,735,1095,1848,947,1983,250,363,642,297,125,304,2159,1143,967,1143,1408,1143,528,2749,1945,1063,1189,618,597,1143,3142,113,585,1143,587,589,1413,409,1143,3411,1402,31,1143,1143,288,1128,1160,747,1283,274,4914,1083,1367,1143
2019-05-01,760,985,1823,909,2070,238,341,554,311,109,278,1927,1085,968,1085,1117,1085,410,2280,1872,1135,1036,653,526,1085,3477,117,554,1085,618,445,1396,375,1085,3160,1086,32,1085,1085,336,987,1015,742,1246,355,4609,1052,1501,1085
2019-06-01,512,538,1525,521,1955,157,197,406,204,68,235,1614,698,768,698,890,698,305,1241,1087,605,647,563,400,698,2967,111,473,698,397,151,784,304,698,1435,697,22,698,698,244,495,527,492,823,193,1743,574,1056,698
2019-07-01,488,530,1937,403,2049,177,225,361,202,92,220,1863,747,715,747,1512,747,302,1335,1300,746,942,498,453,747,3304,73,458,747,339,147,677,333,747,1241,691,30,747,747,288,492,689,436,775,210,1446,636,1271,747
2019-08-01,847,948,1955,1126,2675,311,269,875,544,107,318,2826,1211,1092,1211,1070,1211,347,2896,2034,1119,1094,707,705,1211,3879,82,666,1211,681,199,1331,442,1211,3645,1225,29,1211,1211,342,1286,1402,569,1405,265,4711,997,1427,1211
2019-09-01,912,1156,2251,1715,2824,290,355,786,642,115,344,2409,1348,1049,1348,1269,1348,372,2918,2054,1126,1324,710,656,1348,3800,86,543,1348,742,290,1798,528,1348,4164,2061,23,1348,1348,350,1546,1698,572,1911,226,5540,1494,1288,1348
2019-10-01,840,1203,2182,1284,2673,271,359,1008,569,114,348,2260,1312,1218,1312,1313,1312,442,2967,2137,1233,1482,763,715,1312,3702,62,753,1312,744,314,1865,473,1312,3796,1900,19,1312,1312,336,1287,1692,602,1446,217,5641,972,1297,1312
2019-11-01,848,1341,2281,1362,2531,316,314,1006,473,94,316,3146,1348,1281,1348,1458,1348,500,3017,2344,1191,1259,784,738,1348,3862,74,624,1348,702,373,1618,488,1348,3817,1814,27,1348,1348,314,1627,1528,615,1230,283,5432,1630,1248,1348
2019-12-01,696,1018,2325,989,2523,298,372,840,468,99,342,2096,1156,1173,1156,1513,1156,563,2497,2213,1069,1688,761,730,1156,3459,87,615,1156,686,372,1300,433,1156,2830,1267,103,1156,1156,333,1091,1243,746,691,288,4182,994,1253,1156
2020-01-01,983,1183,2446,1184,2672,288,318,835,454,97,344,2866,1315,1189,1315,1465,1315,453,3407,2380,1159,1438,833,749,1315,3597,86,672,1315,688,324,1919,469,1315,3798,1494,228,1315,1315,386,1378,1352,688,788,297,4794,1589,1291,1315
2020-02-01,756,1076,1984,1005,2011,237,325,794,318,114,322,2272,1165,1003,1165,1475,1165,415,3251,2138,1266,1243,724,892,1165,3296,379,641,1165,642,367,1554,464,1165,3615,1308,217,1165,1165,314,1071,1258,610,580,313,4228,1048,1055,1165
2020-03-01,1006,1204,2460,1409,2307,286,325,1013,395,132,400,2461,1441,1467,1441,1354,1441,508,4194,3020,1305,1635,904,914,1441,3602,125,667,1441,753,755,1771,522,1441,4914,1499,261,1441,1441,372,1380,1298,623,924,267,6301,1571,1346,1441
2020-04-01,1037,1314,2672,1130,2557,312,452,915,406,133,421,2643,1558,1258,1558,1181,1558,518,5307,3456,1409,1681,842,952,1558,3245,113,956,1558,932,1013,1761,1082,1558,5844,1573,262,1558,1558,352,1302,1604,818,1015,246,7076,1274,1241,1558
2020-05-01,1074,1242,2435,1358,2300,329,376,781,535,153,471,2163,1425,1462,1425,1169,1425,672,3876,2821,1429,1490,1012,956,1425,3362,121,841,1425,877,745,1694,622,1425,4296,1438,292,1425,1425,375,1221,1465,885,1123,292,6472,1462,1304,1425
2020-06-01,628,597,1607,604,1636,238,260,753,258,91,355,1617,927,822,927,1285,927,357,1963,1398,827,952,545,570,927,2599,97,493,927,485,242,742,393,927,1886,824,164,927,927,275,668,599,474,698,227,6929,795,1118,927
2020-07-01,628,582,1948,539,1571,282,274,395,261,128,318,1953,787,841,787,1053,787,400,1720,1817,867,1156,650,524,787,2695,82,457,787,371,169,643,439,787,1431,767,183,787,787,289,512,560,523,635,225,1728,835,1013,787
