Timestamp,Dashuria,Empatia,Farefisi,Miqësia,Familja,Komunitet,Altruizmi,Ndërveprim,Aleanca,Fejesa,Respekti,Filantropia,Komunikim,Ndermjetesimi
2019-01-01,3311,150.0,78,888,2154,1996,624,888,27.0,125,888,372,40,888
2019-02-01,4596,595.0,85,1102,2936,1728,622,1102,60.0,115,1102,258,29,1102
2019-03-01,4018,991.0,69,1114,3543,1647,505,1114,46.0,117,1114,177,23,1114
2019-04-01,3567,1241.0,68,951,2104,1393,670,951,52.0,91,951,285,41,951
2019-05-01,3304,1827.0,75,1086,2669,1680,789,1086,66.0,97,1086,338,20,1086
2019-06-01,2018,1609.0,88,744,1442,768,490,744,0.0,90,744,175,12,744
2019-07-01,1818,1182.0,62,540,852,160,425,540,0.0,121,540,223,16,540
2019-08-01,1739,1266.0,73,519,645,200,381,519,0.0,120,519,229,18,519
2019-09-01,2480,0.0,71,835,2755,657,379,835,0.0,97,835,228,13,835
2019-10-01,3769,0.0,89,1506,4679,2588,479,1506,0.0,118,1506,304,22,1506
2019-11-01,3628,0.0,86,1523,4549,2806,625,1523,0.0,131,1523,329,27,1523
2019-12-01,4381,0.0,102,1447,3146,2425,976,1447,0.0,165,1447,334,45,1447
2020-01-01,3222,0.0,100,1220,2708,2423,852,1220,0.0,175,1220,262,17,1220
2020-02-01,5022,0.0,93,1504,3313,2245,914,1504,0.0,157,1504,270,19,1504
2020-03-01,4954,0.0,85,1489,3649,1921,900,1489,0.0,103,1489,284,19,1489
2020-04-01,4558,0.0,120,1652,3816,2655,1434,1652,0.0,100,1652,444,85,1652
2020-05-01,3097,0.0,125,1588,5697,1951,1207,1588,0.0,135,1588,411,83,1588
2020-06-01,2616,0.0,102,861,1828,700,940,861,0.0,143,861,505,51,861
2020-07-01,1675,0.0,82,506,910,294,579,506,0.0,153,506,315,41,506
